mquick, 500, 4722, 3403, 0.000048
select, 500, 124750, 500, 0.000529
insert, 500, 64665, 64672, 0.000295
heap, 500, 7429, 4059, 0.000098
quick, 500, 4516, 2366, 0.000051
mquick, 500, 4702, 3372, 0.000048
select, 500, 124750, 500, 0.000565
insert, 500, 63108, 63111, 0.000306
heap, 500, 7430, 4034, 0.000105
quick, 500, 4916, 3271, 0.000053
mquick, 500, 4977, 3948, 0.000058
select, 500, 124750, 500, 0.000531
insert, 500, 62221, 62228, 0.000292
heap, 500, 7419, 4037, 0.000098
quick, 500, 5270, 3185, 0.000052
mquick, 500, 4774, 3730, 0.000052
select, 500, 124750, 500, 0.000647
insert, 500, 61230, 61239, 0.000405
heap, 500, 7431, 4022, 0.000126
quick, 500, 4577, 2541, 0.000068
mquick, 500, 4806, 3294, 0.000062
select, 600, 179700, 600, 0.000758
insert, 600, 86445, 86450, 0.000554
heap, 600, 9231, 5025, 0.000153
quick, 600, 6196, 3133, 0.000085
mquick, 600, 5857, 4479, 0.000076
select, 600, 179700, 600, 0.000757
insert, 600, 91221, 91227, 0.000613
heap, 600, 9217, 4992, 0.000152
quick, 600, 5501, 3243, 0.000082
mquick, 600, 6086, 4672, 0.000079
select, 600, 179700, 600, 0.000754
insert, 600, 91189, 91195, 0.000613
heap, 600, 9240, 5028, 0.000153
quick, 600, 6094, 3790, 0.000086
mquick, 600, 5806, 4229, 0.000076
select, 600, 179700, 600, 0.000791
insert, 600, 90363, 90375, 0.000602
heap, 600, 9261, 5026, 0.000152
quick, 600, 5993, 3264, 0.000084
mquick, 600, 6146, 4492, 0.000078
select, 600, 179700, 600, 0.000754
insert, 600, 86849, 86853, 0.000584
heap, 600, 9251, 5024, 0.000153
quick, 600, 5957, 3822, 0.000086
mquick, 600, 6216, 4537, 0.000080
select, 600, 179700, 600, 0.000758
insert, 600, 91984, 91993, 0.000622
heap, 600, 9263, 5034, 0.000153
quick, 600, 6569, 3978, 0.000099
mquick, 600, 5719, 4354, 0.000076
select, 600, 179700, 600, 0.000754
insert, 600, 90945, 90950, 0.000610
heap, 600, 9257, 5025, 0.000153
quick, 600, 5781, 3552, 0.000083
mquick, 600, 5891, 4136, 0.000076
select, 600, 179700, 600, 0.000753
insert, 600, 94265, 94270, 0.000661
heap, 600, 9224, 5001, 0.000152
quick, 600, 6592, 2987, 0.000087
mquick, 600, 5632, 4163, 0.000075
select, 600, 179700, 600, 0.000769
insert, 600, 87187, 87191, 0.000580
heap, 600, 9224, 5012, 0.000155
quick, 600, 5784, 2912, 0.000082
mquick, 600, 6076, 4304, 0.000078
select, 600, 179700, 600, 0.000757
insert, 600, 91015, 91023, 0.000608
heap, 600, 9225, 4984, 0.000153
quick, 600, 6155, 3384, 0.000084
mquick, 600, 5804, 4241, 0.000076
select, 700, 244650, 700, 0.001022
insert, 700, 125918, 125926, 0.000834
heap, 700, 11098, 6005, 0.000181
quick, 700, 7051, 3400, 0.000098
mquick, 700, 6881, 4849, 0.000089
select, 700, 244650, 700, 0.001041
insert, 700, 123716, 123723, 0.000803
heap, 700, 11107, 6010, 0.000188
quick, 700, 6852, 3753, 0.000097
mquick, 700, 7018, 4960, 0.000090
select, 700, 244650, 700, 0.001018
insert, 700, 123210, 123213, 0.000938
heap, 700, 11107, 6014, 0.000180
quick, 700, 7935, 5100, 0.000116
mquick, 700, 6912, 5084, 0.000091
select, 700, 244650, 700, 0.001024
insert, 700, 126428, 126434, 0.000814
heap, 700, 11102, 5981, 0.000184
quick, 700, 6592, 3862, 0.000095
mquick, 700, 6747, 4940, 0.000097
select, 700, 244650, 700, 0.001034
insert, 700, 125017, 125026, 0.000817
heap, 700, 11122, 6011, 0.000181
quick, 700, 7203, 3986, 0.000098
mquick, 700, 7297, 5093, 0.000091
select, 700, 244650, 700, 0.001030
insert, 700, 121664, 121670, 0.000795
heap, 700, 11066, 5979, 0.000182
quick, 700, 8025, 4921, 0.000108
mquick, 700, 6888, 5242, 0.000092
select, 700, 244650, 700, 0.001034
insert, 700, 117296, 117299, 0.000791
heap, 700, 11116, 6006, 0.000183
quick, 700, 6542, 3534, 0.000091
mquick, 700, 6772, 4620, 0.000080
select, 700, 244650, 700, 0.001024
insert, 700, 123250, 123254, 0.000800
heap, 700, 11158, 6031, 0.000180
quick, 700, 7072, 4299, 0.000104
mquick, 700, 6794, 4913, 0.000090
select, 700, 244650, 700, 0.001030
insert, 700, 120661, 120667, 0.000781
heap, 700, 11109, 6030, 0.000183
quick, 700, 7433, 4998, 0.000102
mquick, 700, 7036, 5305, 0.000091
select, 700, 244650, 700, 0.001031
insert, 700, 120875, 120882, 0.000799
heap, 700, 11121, 6025, 0.000181
quick, 700, 6876, 4212, 0.000100
mquick, 700, 7105, 4843, 0.000087
select, 800, 319600, 800, 0.001327
insert, 800, 156862, 156869, 0.000932
heap, 800, 13030, 7054, 0.000212
quick, 800, 8337, 4516, 0.000113
mquick, 800, 8750, 6302, 0.000109
select, 800, 319600, 800, 0.001353
insert, 800, 158781, 158789, 0.001023
heap, 800, 13034, 7036, 0.000212
quick, 800, 7979, 4995, 0.000116
mquick, 800, 8532, 6914, 0.000128
select, 800, 319600, 800, 0.001324
insert, 800, 156821, 156826, 0.000960
heap, 800, 13036, 7059, 0.000213
quick, 800, 7956, 4518, 0.000131
mquick, 800, 8192, 6073, 0.000120
select, 800, 319600, 800, 0.001327
insert, 800, 168389, 168398, 0.001001
heap, 800, 13018, 7007, 0.000210
quick, 800, 8333, 5032, 0.000117
mquick, 800, 8327, 6125, 0.000106
select, 800, 319600, 800, 0.001325
insert, 800, 160577, 160588, 0.000966
heap, 800, 13002, 7035, 0.000212
quick, 800, 8719, 5096, 0.000121
mquick, 800, 8484, 5920, 0.000108
select, 800, 319600, 800, 0.001350
insert, 800, 165257, 165267, 0.000971
heap, 800, 12984, 7026, 0.000161
quick, 800, 8494, 4884, 0.000088
mquick, 800, 8257, 6222, 0.000086
select, 800, 319600, 800, 0.001334
